Packages;Destination;Approach
;Warehouse;09:00:00
0;Vulytsya Khersonsʹka, 15, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;9:26:37
1;Vulytsya Veterynarna, 30, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;9:55:14
2;Vulytsya Travneva, 22, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;10:08:06
3;Vulytsya Lʹva Tolstoho, 24, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;10:22:17
4;Academician Amosov St, 6, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;10:32:21
5;Vulytsya Robocha, 39, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;11:00:23
6;Vulytsya Lassalya, 29, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;11:12:54
7;Vulytsya Kolodyazhna, 6, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;11:22:50
8;Academician Amosov St, 45, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;11:40:59
9;Provulok Fisaka, 10, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;11:54:40
;Warehouse;12:15:20
