Packages;Destination;Approach
;Warehouse;09:00:00
17;Slobozhanska St, 138, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;9:13:55
7;Vulytsya Kolodyazhna, 6, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;9:22:21
12;ул. Фисака, 23, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;9:37:07
5;Vulytsya Robocha, 39, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;9:56:34
2;Vulytsya Travneva, 22, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;10:08:02
3;Vulytsya Lʹva Tolstoho, 24, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;10:23:03
1;Vulytsya Veterynarna, 30, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;10:35:30
23;Sanzharivska St, 41, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;10:47:00
14;Vulytsya Havenka, 9, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;11:01:21
4;Academician Amosov St, 6, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;11:24:40
13;Provulok Udarnyy, 18, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;11:37:16
16;Prov. Kovalʹsʹkyy, 13, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;12:06:06
9;Provulok Fisaka, 10, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;12:21:47
6;Vulytsya Lassalya, 29, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;12:31:24
;Warehouse;12:57:59
;Warehouse;12:57:59
21;Vulytsya Proselyshchna, 15, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;13:18:53
18;Vulytsya Shevchenka, 104, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;13:36:07
20;Vulytsya Lassalya, 6, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;13:45:53
11;Vulytsya Partyzansʹka, 50, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;13:54:58
8;Academician Amosov St, 45, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;14:13:45
24;Vulytsya Krynychna, 8, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;14:24:38
15;Lesia Kurbasa St, 25, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;14:44:20
0;Vulytsya Khersonsʹka, 15, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;14:57:56
10;Slobozhanska St, 28, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;15:23:31
22;Vulytsya Zmahannya, 56, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;15:39:07
19;Slobozhanska St, 60, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;15:55:01
;Warehouse;16:10:27
