Packages;Destination;Approach
;Warehouse;09:00:00
10;Slobozhanska St, 28, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;9:09:57
11;Vulytsya Partyzansʹka, 50, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;9:16:53
12;ул. Фисака, 23, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;9:25:31
13;Provulok Udarnyy, 18, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;9:33:40
14;Vulytsya Havenka, 9, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;9:49:37
15;Lesia Kurbasa St, 25, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;9:59:57
16;Prov. Kovalʹsʹkyy, 13, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;10:16:24
17;Slobozhanska St, 138, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;10:27:37
18;Vulytsya Shevchenka, 104, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;10:38:51
19;Slobozhanska St, 60, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;10:45:56
20;Vulytsya Lassalya, 6, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;10:55:27
21;Vulytsya Proselyshchna, 15, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;11:09:40
;Warehouse;11:24:51
