Packages;Destination;Approach
;Warehouse;9:00:00
0;Provulok Oranzhereynyy, 13, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;9:10:38
1;Sviato-Mykolaivska St, 12, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;9:22:57
6;ул. Фисака, 23, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;9:30:19
8;Vulytsya Vesnyana, 12, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;9:36:36
21,12;Vulytsya Lassalya, 6, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;9:47:27
14;Vulytsya Pershotravneva, 3, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;10:00:47
22;Vulytsya Kryva, 20, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;10:12:25
25;Vulytsya Lassalya, 29, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;10:24:35
29;Provulok Karla Marksa, 4, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;10:36:23
31;Vulytsya Hryzodubova, 5, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;10:51:02
36;Vulytsya Veterynarna, 30, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;10:57:20
43,37;Academician Amosov St, 45, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;11:17:39
38;Dzherelianska Street, 20, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;11:25:06
41;Provulok Luhovyy, 12, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;11:37:20
44;Vulytsya Havenka, 30, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;11:46:39
46;Vulytsya Kooperatyvna, 20, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435;11:56:54
48;Vulytsya Travneva, 22, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434;12:11:55
;Warehouse;12:27:48
