Volume;Weight;Adress
2;1;Vulytsya Khersonsʹka, 15, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434
3;1;Vulytsya Veterynarna, 30, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434
2;2;Vulytsya Travneva, 22, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434
2;2;Vulytsya Lʹva Tolstoho, 24, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435
1;3;Academician Amosov St, 6, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434
3;3;Vulytsya Robocha, 39, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434
5;4;Vulytsya Lassalya, 29, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434
6;4;Vulytsya Kolodyazhna, 6, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434
7;5;Academician Amosov St, 45, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435
4;4;Provulok Fisaka, 10, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434
4;7;Slobozhanska St, 28, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434
4;8;Vulytsya Partyzansʹka, 50, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434
4;12;ул. Фисака, 23, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434
4;15;Provulok Udarnyy, 18, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434
4;22;Vulytsya Havenka, 9, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435
4;23;Lesia Kurbasa St, 25, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435
4;24;Prov. Kovalʹsʹkyy, 13, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435
4;27;Slobozhanska St, 138, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434
4;29;Vulytsya Shevchenka, 104, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434
4;29;Slobozhanska St, 60, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434
4;20;Vulytsya Lassalya, 6, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435
4;30;Vulytsya Proselyshchna, 15, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434
4;40;Vulytsya Zmahannya, 56, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434
4;50;Sanzharivska St, 41, Liubotyn, Kharkivs'ka oblast, Ukraine, 62434
4;120;Vulytsya Krynychna, 8, Liubotyn, Kharkivs'ka oblast, Ukraine, 62435
